quantity,bin,binBarcode,shelf,level,productName,productType,sku,option1,option2,option3,lotName,expiration,warehouse,minCost,avgCost,maxCost,price,committed,incoming,velocity
1,BIN-03,1768845014311,Shelf 13,3,AJR Sport Anatomic Breastplate with Clips & Running Attachment - Jumper Collection,Tack & Equipment > Martingales & Breastplates,BRST-017-F,Color: Brown,Size: Full,,,,Wellington Warehouse,188790,188790,188790,325500,0,0,
0,BIN-04,1768845014312,Shelf 13,4,AJR Sport Training Bridle with Pad and Rubber Reins with Clips,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridles",BRD-020-F,Color: Brown,Size: Full,,,,Wellington Warehouse,223300,223300,223300,385000,0,0,
0,BIN-03,1768845014311,Shelf 13,3,"AJR Sport 5/8"" Normal Rubber Reins - Jumper Collection","Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Reins",REIN-011-C,Color: Brown,Size: Cob,,,,Wellington Warehouse,105850,105850,105850,182500,0,0,
0,BIN-04,1768845014312,Shelf 13,4,AJR Sport Training Bridle with Pad and Rubber Reins with Clips,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridles",BRD-020-C,Color: Brown,Size: Cob,,,,Wellington Warehouse,223300,223300,223300,385000,0,0,
0,BIN-03,1768845014311,Shelf 13,3,AJR Sport Padded Drop Noseband - Jumper Collection,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridle Accessories",NSBD-035-F,Color: Brown,Size: Full,,,,Wellington Warehouse,73370,73370,73370,126500,0,0,
0,BIN-03,1768845014311,Shelf 13,3,AJR Sport Invisible Rope Noseband - Hunter Collection,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridle Accessories",NSBD-022-C,Size: Cob,Color: Brown,,,,Wellington Warehouse,113680,113680,113680,196000,0,0,
1,BIN-03,1768845014311,Shelf 13,3,AJR Sport Mexican Noseband without Rings - Jumper Collection,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridle Accessories",NSBD-036-F,Color: Brown,Size: Full,,,,Wellington Warehouse,95700,95700,95700,165000,0,0,
1,BIN-03,1768845014311,Shelf 13,3,AJR Sport Yoke - Jumper Collection,Tack & Equipment > Martingales & Breastplates,ATT-052-F,Color: Brown,Size: Full,,,,Wellington Warehouse,142970,142970,142970,246500,0,0,
1,BIN-03,1768845014311,Shelf 13,3,AJR Sport Leather Covered Rope Double Noseband - Jumper Collection,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridle Accessories",NSBD-031-F,Size: Full,Color: Brown,,,,Wellington Warehouse,126440,126440,126440,218000,0,0,0.018681923
0,BIN-03,1768845014311,Shelf 13,3,AJR Sport Leather Pelham Roundings Bit Converter,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridle Accessories",CNV-040,Color: Brown,Size: Short,,,,Wellington Warehouse,44080,44080,44080,76000,0,0,0.06871702
0,BIN-03,1768845014311,Shelf 13,3,AJR Sport Rope Gag Cheekpieces,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridle Accessories",ATT-044-F,Color: Brown,Size: Full,,,,Wellington Warehouse,44660,44660,44660,77000,0,0,
0,BIN-03,1768845014311,Shelf 13,3,AJR Sport Bib Martingale Attachment in Soft Leather,Tack & Equipment > Martingales & Breastplates,ATT-045-F,Size: Full,Color: Brown,,,,Wellington Warehouse,86130,86130,86130,148500,0,0,
0,BIN-03,1768845014311,Shelf 13,3,AJR Sport Bib Martingale Attachment in Soft Leather,Tack & Equipment > Martingales & Breastplates,ATT-045-C,Size: Cob,Color: Brown,,,,Wellington Warehouse,86130,86130,86130,148500,0,0,
0,BIN-03,1768845014311,Shelf 13,3,AJR Sport Leather Covered Rope Double Noseband - Jumper Collection,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridle Accessories",NSBD-031-C,Size: Cob,Color: Brown,,,,Wellington Warehouse,126440,126440,126440,218000,0,0,0.018681923
0,BIN-03,1768845014311,Shelf 13,3,AJR Sport Mexican Noseband without Rings - Jumper Collection,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridle Accessories",NSBD-036-C,Color: Brown,Size: Cob,,,,Wellington Warehouse,95700,95700,95700,165000,0,0,
0,BIN-03,1768845014311,Shelf 13,3,AJR Sport Yoke - Jumper Collection,Tack & Equipment > Martingales & Breastplates,ATT-052-C,Color: Brown,Size: Cob,,,,Wellington Warehouse,142970,142970,142970,246500,0,0,
1,BIN-03,1768845014311,Shelf 13,3,"AJR Sport 5/8"" Softy Leather Rein Jumper Collection","Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Reins",REIN-061-F,Color: Brown,Size: Full,,,,Wellington Warehouse,139200,139200,139200,240000,0,0,
0,BIN-03,1768845014311,Shelf 13,3,AJR Sport Hackamore Headpiece with Throat Latch - Jumper Collection,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridle Accessories",ATT-066-C,Color: Brown,Size: Cob,,,,Wellington Warehouse,101500,101500,101500,175000,0,0,
0,BIN-03,1768845014311,Shelf 13,3,AJR Sport Straight Browband Jumper Collection,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridle Accessories",ATT-058C,Color: Brown,Size: Cob,,,,Wellington Warehouse,41470,41470,41470,71500,0,0,
0,BIN-03,1768845014311,Shelf 13,3,AJR Sport 5/8 Softy Leather Rein with Leather Grip - Jumper Collection,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Reins",REIN-059-C,Color: Brown,Size: Cob,,,,Wellington Warehouse,142100,142100,142100,245000,0,0,
1,BIN-03,1768845014311,Shelf 13,3,AJR Sport Standing Martingale Attachment - Jumper Collection,Tack & Equipment > Martingales & Breastplates,ATT-070-C,Color: Brown,Size: Cob,,,,Wellington Warehouse,51040,51040,51040,88000,0,0,
0,BIN-03,1768845014311,Shelf 13,3,AJR Sport Hackamore Headpiece with Throat Latch - Jumper Collection,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridle Accessories",ATT-066-F,Color: Brown,Size: Full,,,,Wellington Warehouse,101500,101500,101500,175000,0,0,
